,CoinName,0,1,class
125,1Credit,-5.3286195,-6.4868584,3
129,Crypto,-2.722189,-14.537946,3
134,Song Coin,-1.3675345,-7.6613073,3
135,BitZeny,-1.6667577,-8.539802,3
137,Expanse,-10.331606,-11.4196205,3
139,Siacoin,3.8907835,-6.3245096,3
145,Revolution VR,-2.3442578,-9.135661,3
146,HOdlcoin,-2.688337,-11.169856,3
149,Gamecredits,-1.6234037,-6.899244,3
156,SoilCoin,3.7702758,-9.043609,3
157,YoCoin,-1.3381774,-6.364313,3
158,SibCoin,-1.1310186,-10.744004,3
162,SafeExchangeCoin,-2.3415856,0.9331312,3
164,Francs,-4.2021556,-3.9460218,3
171,Omni,-4.479042,-2.6417813,3
179,Komodo,-16.76625,-9.51724,3
182,Karbo,-8.164681,-21.435135,3
187,Circuits of Value,-11.533252,-3.9963133,3
189,DopeCoin,-1.7950549,-8.624075,3
192,Swiscoin,-7.885271,-5.3983703,3
193,Shilling,-3.715383,-4.201133,3
198,ZCoin,-5.9546976,-12.94637,3
204,Elementrem,-10.331605,-11.4196205,3
205,ZClassic,-15.894641,-8.854255,3
208,KiloCoin,-5.846091,-8.334014,3
224,Cannabis Industry Coin,-8.164674,-21.43566,3
231,OsmiumCoin,-4.9475274,-3.3065634,3
232,Bikercoins,-8.1646385,-21.435555,3
233,HexxCoin,-2.7221885,-14.537946,3
240,Citadel,1.5511969,-15.663912,3
242,FirstCoin,-4.7828526,-0.43785295,3
243,BeaverCoin,-4.3357496,-2.8250108,3
246,Zero,-15.894643,-8.854255,3
248,Canada eCoin,-1.5813496,-7.621694,3
249,Zoin,-2.722189,-14.537945,3
251,DubaiCoin,0.38718182,-5.880844,3
255,EB3coin,-4.5087295,-8.709422,3
266,BenjiRolls,-3.01129,-4.4191885,3
273,EquiTrader,-2.3040066,-4.880299,3
275,Quantum Resistant Ledger,1.5511969,-15.663912,3
277,Dynamic,-3.9087133,-10.806832,3
278,Nano,3.893707,-6.3268414,3
279,ChanCoin,-0.32796094,-3.9925706,3
280,Dinastycoin,-8.811285,-21.183683,3
285,Unify,-3.3002636,-3.7108815,3
287,SocialCoin,-2.48811,-4.604306,3
291,LeviarCoin,-8.497172,-21.76878,3
293,Bitcore,0.14235914,-4.849666,3
294,gCn Coin,-4.222131,-6.4678597,3
302,Vechain,-17.854218,-59.005104,3
303,Sojourn Coin,-5.853166,-8.327814,3
305,NewYorkCoin,-4.383251,-6.4611855,3
306,FrazCoin,-3.6917012,-3.5273142,3
307,Kronecoin,-2.0449016,-5.3551254,3
308,AdCoin,-1.7232581,-6.1518693,3
309,Linx,-1.7302797,-6.1890283,3
312,Sumokoin,-8.480683,-21.765892,3
313,Obsidian,-5.687793,3.0371149,3
316,BitcoinZ,-15.888743,-8.858745,3
321,Rupee,2.7849386,0.59165984,3
322,Bitcoin Gold,-15.894641,-8.854255,3
327,Pirl,3.770276,-9.04361,3
330,eBoost,-1.5817305,-7.6242404,3
336,Ellaism,-10.3316,-11.419622,3
342,SHIELD,-11.533226,-3.9962802,3
344,UltraNote,-8.392893,-20.872791,3
345,BitCoal,-8.16462,-21.436007,3
346,DaxxCoin,-10.331562,-11.419637,3
350,Lethean,1.5511956,-15.663912,3
353,PopularCoin,-5.897995,-8.280521,3
360,IrishCoin,-1.9645396,-5.9431863,3
368,1717 Masonic Commemorative Token,-10.57247,-11.398893,3
369,My Big Coin,-7.1565285,-2.1725972,3
370,TurtleCoin,-7.9531097,-19.217579,3
371,MUNcoin,1.4921116,-4.7989135,3
373,Niobio Cash,-8.774814,-21.676521,3
374,ShareChain,-6.383574,-7.3836126,3
375,Travelflex,3.7702758,-9.043609,3
376,KREDS,2.7933116,0.56193036,3
378,BiblePay,1.1909767,-3.2260582,3
379,LitecoinCash,-1.606361,-1.9552623,3
380,BitFlip,-3.3581834,-4.406221,3
381,LottoCoin,-6.3402424,-7.0298057,3
384,Poa Network,-0.6232461,-1.0508673,3
389,Callisto Network,-10.33155,-11.419653,3
390,BitTube,-8.864977,-21.264652,3
391,Poseidon,-3.7438617,-3.2104921,3
392,Aidos Kuneen,1.6678792,-6.240543,3
396,Bitrolium,-15.894604,-8.854228,3
398,Alpenschillling,-5.9546976,-12.946369,3
406,Monero Classic,-8.396955,-21.746815,3
407,Proton,0.6620163,3.9736867,3
410,Infinex,-2.7221885,-14.537945,3
412,KEYCO,0.5766298,-7.042775,3
414,GINcoin,-5.954697,-12.94637,3
415,PlatinCoin,-8.892179,-21.488993,3
416,Loki,-0.6243166,-12.411011,3
417,Newton Coin,-8.315083,-20.520231,3
420,MassGrid,1.6170698,-7.763831,3
422,PluraCoin,-8.83636,-21.605064,3
425,Lynx,-4.1131577,-6.298088,3
429,Motion,0.68291926,3.9419444,3
430,PlusOneCoin,-6.855694,-9.730231,3
432,Trivechain,0.7359815,4.005816,3
436,Absolute Coin,2.8609722,0.6297584,3
438,HexCoin,-3.8256915,-3.1097276,3
440,Webchain,1.5511953,-15.663912,3
441,Ryo,1.1098701,-9.391492,3
443,Qwertycoin,-0.6263619,-12.409968,3
453,Kcash,-5.659327,2.9625897,3
454,Xchange,0.6829195,3.9419448,3
455,Acute Angle Cloud,0.16647936,-2.2532663,3
456,CrypticCoin,-15.892996,-8.855573,3
458,Actinium,-5.954697,-12.946369,3
462,FREDEnergy,-8.733885,-21.126463,3
464,Universal Molecule,2.3627656,-11.8338585,3
465,Lithium,2.362766,-11.8338585,3
466,PirateCash,-16.411335,-8.43464,3
467,Exosis,-0.9811232,-3.1596587,3
468,Block-Logic,-1.5254542,-6.55699,3
470,Beam,-15.894566,-8.854243,3
472,Bithereum,-15.894639,-8.854256,3
487,SolarCoin,-5.3090854,-6.482,3
491,BlakeCoin,2.3626895,-11.833985,3
496,Crypto Escudo,-4.1662064,-8.824042,3
502,SmileyCoin,-5.3078127,-6.488884,3
508,Bata,-4.773601,-3.667105,3
509,Pakcoin,-1.5218644,-7.9628606,3
516,JoinCoin,-11.533251,-3.9962828,3
518,Vollar,-0.0010635443,-9.993372,3
520,Reality Clash,-10.331605,-11.419621,3
523,Waves,-2.736756,-1.1202818,3
525,BitTorrent,-7.7826285,-18.623104,3
529,Beldex,-8.836173,-21.21525,3
530,Horizen,-15.894641,-8.854255,3
