,CoinName,0,1,class
4,Ethereum,-10.331606,-11.41962,3
5,Litecoin,-1.7396185,-6.7667265,3
7,Monero,1.551197,-15.663912,3
8,Ethereum Classic,-10.3316,-11.419614,3
9,ZCash,-15.894641,-8.854255,3
10,Bitshares,-5.6879873,3.037191,3
11,DigiByte,-11.532629,-3.99781,3
14,ProsperCoin,-4.216616,-3.947422,3
17,Argentum,-2.5832224,-4.675762,3
20,MyriadCoin,-11.533243,-3.9963365,3
21,MoonCoin,-4.2344513,-6.461909,3
23,SexCoin,-2.0223033,-8.942978,3
24,Quatloo,-1.9605404,-5.301807,3
28,Digitalcoin ,-2.4083207,-5.245993,3
30,Catcoin,-4.130466,-3.9603665,3
32,CannaCoin,-4.2561345,-3.387664,3
34,CasinoCoin,-2.3431566,0.93001086,3
36,Verge,-11.532649,-3.99778,3
38,EarthCoin,-6.3876786,-7.136841,3
39,E-Gulden,-3.162263,-3.8849163,3
40,Einsteinium,-2.5980132,-9.230175,3
41,Emerald,-3.2378361,-4.4294486,3
43,FlutterCoin,-7.326752,-3.656248,3
44,Franko,-4.780443,-3.6732366,3
46,GrandCoin,-4.2500954,-8.799032,3
47,GlobalCoin,-1.8403306,-6.6329293,3
48,GoldCoin,-1.9066551,-5.955111,3
51,Infinite Coin,-4.379944,-6.4593244,3
54,KrugerCoin,-2.1989884,-9.077915,3
55,LuckyCoin,-3.2611635,-3.8094544,3
56,Litebar ,-4.7677584,-2.9916282,3
58,MegaCoin,-2.4308684,-5.31564,3
59,MediterraneanCoin,-5.2589383,-10.378928,3
61,MinCoin,-4.5925164,-3.8057363,3
65,NobleCoin,-6.244304,-7.826596,3
67,NyanCoin,-2.8943145,-9.271008,3
73,RonPaulCoin,-4.0319986,-3.2254658,3
74,StableCoin,-1.3721932,-7.9462924,3
75,SmartCoin,-2.5702631,-4.9987583,3
79,TeslaCoin,-11.677728,-3.7178905,3
89,ViaCoin,-3.039529,-4.0584564,3
90,VeriCoin,-6.313154,-0.88917303,3
91,Vertcoin,2.7932916,0.5619252,3
92,WorldCoin,-2.0083723,-8.953819,3
94,Crypti,-11.6777315,-3.7178853,3
98,ByteCoin,-8.175869,-19.98451,3
99,DigitalNote ,-8.307377,-21.15804,3
100,BurstCoin,-2.3843734,0.9939125,3
102,MonaCoin,-1.5080935,-7.1117496,3
105,Gulden,-4.187587,-8.818207,3
107,PesetaCoin,-1.8065815,-8.631241,3
109,Wild Beast Coin,-4.9570165,-3.2420504,3
111,Flo,-1.8470534,-8.744095,3
114,ArtByte,-4.169112,-8.823304,3
115,Folding Coin,0.4443566,-8.365862,3
117,Unitus,-11.533253,-3.996283,3
119,OmniCron,-3.9475174,-2.9676578,3
121,GreenCoin,-6.1971703,-7.9007525,3
122,Cryptonite,-6.604922,-5.073076,3
123,MasterCoin,-4.7464147,-2.8997426,3
