,CoinName,0,1,class
3,Bitcoin,-28.898865,5.310801,1
12,BitcoinDark,-30.221066,8.797337,1
13,PayCoin,-26.714014,8.435744,1
22,ZetaCoin,-28.273281,5.2352242,1
37,DevCoin,-27.402458,5.0664673,1
42,Exclusive Coin,-10.078442,13.461407,1
50,HyperStake,-3.1847346,9.66238,1
53,IXcoin,-27.968416,5.874585,1
60,MintCoin,-7.495428,6.7151923,1
62,MazaCoin,-29.668022,8.4906,1
63,Nautilus Coin,-7.0863905,7.352738,1
66,Namecoin,-28.733599,5.6507597,1
76,SuperCoin,-3.1844273,9.662528,1
78,SysCoin,-27.906456,5.175715,1
80,TigerCoin,-27.652914,5.5783434,1
83,TerraCoin,-28.55765,5.821911,1
84,UnbreakableCoin,-28.216776,4.6347084,1
85,Unobtanium,-28.559502,4.719627,1
95,JouleCoin,-27.652412,5.5792356,1
101,StorjCoin,-5.730473,6.458113,1
103,Neutron,-29.706583,9.0931635,1
106,RubyCoin,-7.0853243,7.260227,1
110,Dnotes,-7.9096913,6.9841814,1
116,Ucoin,-3.1844213,9.662529,1
124,SoonCoin,-28.825329,4.9677525,1
130,Anarchists Prime,-28.295559,5.845242,1
136,Diggits,-7.947687,7.372516,1
140,Emercoin,-29.52052,8.847981,1
143,I0coin,-28.26292,5.2360034,1
147,EDRCoin,-29.805254,9.120885,1
150,DubaiCoin,-30.031399,9.072616,1
151,CarpeDiemCoin,-27.36749,5.036133,1
154,GPU Coin,-7.847014,7.5288277,1
160,ZeitCoin,-7.3142943,6.1292305,1
161,SwingCoin,-29.574574,9.003864,1
163,Nebuchadnezzar,-10.850156,13.262492,1
167,Revenu,-29.790485,8.42435,1
168,Clockcoin,-29.50842,8.778725,1
172,Let it Ride,-11.941495,8.194736,1
178,Lutetium Coin,-3.1846867,9.662394,1
183,BitTokens,-30.12931,8.509852,1
184,ZayedCoin,-28.903334,5.2700286,1
190,BitCurrency,-7.946266,7.3689084,1
191,DollarCoin,-28.786871,4.9284787,1
195,Opair,-10.741288,13.600831,1
199,CoffeeCoin,-10.268874,13.054341,1
202,TeamUP,-10.5650215,13.0087385,1
206,ARK,-11.084256,1.7812538,1
212,FreeCoin,-10.199359,13.634652,1
216,Creatio,-10.650494,13.039785,1
218,Eurocoin,-30.079832,9.039825,1
226,PandaCoin,-7.301602,6.489761,1
235,Internet of People,-30.219059,8.805708,1
241,Zilbercoin,-7.63864,7.66483,1
250,RenosCoin,-7.3607855,7.6723547,1
256,Atmos,-10.802758,13.162423,1
259,MacronCoin,-10.130724,13.187752,1
264,ProCurrency,-26.695759,8.42909,1
267,GrowthCoin,-7.8340297,6.9221315,1
268,ILCoin,-27.877893,4.77872,1
269,Phreak,-10.412542,13.706361,1
272,Ultimate Secure Cash,-26.713997,8.435722,1
274,QTUM,-11.941496,8.194736,1
296,Signatum,-6.27288,9.167948,1
299,Bitcoin Cash,-28.466091,4.6814284,1
301,Draftcoin,-7.083209,7.255757,1
304,Stakecoin,-10.786421,13.565135,1
314,Cardano,-5.635316,8.37094,1
324,Theresa May Coin,-30.026968,8.433439,1
331,KekCoin,-7.3748317,9.249674,1
333,Infinity Economics,-26.71105,8.434399,1
339,Lamden Tau,-11.084252,1.7811846,1
363,Monkey Project,-3.184422,9.662529,1
365,UnitedBitcoin,-28.29683,5.8420496,1
367,TokenPay,-11.941496,8.194736,1
387,Velox,-7.7101426,7.6400423,1
388,Ontology,-8.736718,8.659828,1
397,MedicCoin,-7.9009247,6.9748983,1
399,Bitcoin Green,-5.320079,7.4686227,1
400,Deviant Coin,-10.827705,13.48577,1
402,Semux,-24.86108,4.1683035,1
405,Zealium,-10.400943,13.00254,1
413,HollyWoodCoin,-7.361327,7.6725383,1
419,Xt3ch,-7.078888,7.2478695,1
427,BitcoinWSpectrum,-26.714003,8.435733,1
428,Muse,-11.104507,2.1121101,1
435,Peony Coin,-7.1865354,6.9063478,1
444,ARENON,-3.1844332,9.662525,1
446,MMOCoin,-7.93303,7.012904,1
447,Ketan,-10.103354,13.249697,1
448,Project Pai,-27.82117,4.806318,1
450,PAXEX,-3.1844401,9.66252,1
459,Bitcoin SV,-28.74763,5.6295137,1
461,Junson Ming Chan Coin,-3.1863635,9.6605425,1
476,Dash Platinum,-3.1844206,9.66253,1
481,BLAST,-27.651522,5.574892,1
483,GlobalToken,-28.083523,4.659496,1
485,ALAX,-11.084241,1.78099,1
493,NeosCoin,-26.714016,8.435743,1
498,IncaKoin,-29.544369,8.527147,1
500,Crown Coin,-27.97102,5.8744254,1
507,Radium,-10.496757,13.7095,1
511,OKCash,-30.119566,8.500037,1
512,Lisk,-11.084256,1.7812487,1
513,HiCoin,-7.2629676,6.8245068,1
519,EOS,-11.084247,1.7810646,1
521,Oxycoin,-11.084245,1.7810422,1
522,TigerCash,-26.713808,8.435618,1
524,Particl,-10.172548,13.61189,1
526,Nxt,-10.694955,14.743449,1
527,ZEPHYR,-25.324495,4.3752103,1
531,BitcoinPlus,-7.2673073,7.6375985,1
