,CoinName,0,1,class
332,BlackholeCoin,12.224932,11.410888,2
340,Electra,22.231163,5.7046275,2
341,Bitcoin Diamond,14.656411,22.247423,2
343,Cash & Back Coin,16.685385,11.159124,2
347,Bulwark,22.572542,5.585154,2
348,Kalkulus,1.8843136,16.358322,2
351,GermanCoin,12.854385,6.8911443,2
352,LiteCoin Ultra,15.282145,12.243229,2
358,Digiwage,1.8843135,16.35833,2
361,Trollcoin,16.511822,8.315647,2
362,Litecoin Plus,10.784155,11.43727,2
366,Interzone,11.686119,2.1268997,2
372,Unified Society USDEX,17.068575,10.244621,2
377,Tokyo Coin,14.174944,23.053059,2
383,Stipend,11.722143,2.1797574,2
386,Ellerium,6.052949,8.469987,2
393,Bitspace,22.236893,5.7009106,2
394,Briacoin,10.483625,11.899006,2
395,Ignition,10.6131115,11.992243,2
401,Abjcoin,12.222437,12.2679615,2
404,Carebit,2.635927,16.583591,2
408,iDealCash,15.105375,7.7061987,2
409,Jumpcoin,22.500305,5.4011226,2
418,Swisscoin,14.015793,7.43686,2
421,TheVig,20.561092,11.700017,2
423,EmaratCoin,14.540376,12.387065,2
424,Dekado,17.88942,15.448612,2
426,Poseidon Quark,1.8843112,16.358364,2
433,Dystem,1.8843138,16.358322,2
434,Giant,2.6359282,16.583586,2
437,Vitae,1.8843125,16.358328,2
439,TPCash,17.063547,9.278373,2
442,Urals Coin,5.965003,8.419701,2
452,ThunderStake,14.206535,7.500992,2
457,Bettex coin,5.9378505,8.433039,2
460,BitMoney,6.3654475,8.710417,2
463,HerbCoin,2.635926,16.58359,2
469,Oduwa,12.374758,11.603268,2
471,Galilel,2.6359253,16.583588,2
473,Crypto Sports,1.8843141,16.358322,2
474,Credit,12.138902,6.647732,2
477,Nasdacoin,14.503778,12.383021,2
478,Beetle Coin,6.052956,8.469991,2
479,Titan Coin,20.561106,11.700001,2
482,Bitcoin Rhodium,14.908326,23.093271,2
486,LiteDoge,12.848683,6.887973,2
490,OrangeCoin,15.684612,11.883092,2
492,BitstarCoin,13.754538,12.255319,2
494,HyperCoin,11.33032,10.999577,2
497,AudioCoin,14.671858,7.6186395,2
501,Genstake,14.326845,12.407418,2
503,XiaoMiCoin,17.119484,9.207592,2
504,Groestlcoin,8.242861,4.3659487,2
506, ClubCoin,16.536057,11.4501295,2
514,WhiteCoin,17.118168,9.977823,2
517,Triangles Coin,14.973109,22.349142,2
528,Gapcoin,16.204979,11.564028,2
