,CoinName,0,1,class
0,42 Coin,10.3290825,11.231301,2
1,404Coin,16.27128,8.087572,2
2,EliteCoin,14.569647,21.558632,2
15,KoboCoin,17.88598,15.434208,2
18,Aurora Coin,12.450701,11.54024,2
19,BlueCoin,17.225039,9.180746,2
25,EnergyCoin,16.03302,12.400996,2
26,QuarkCoin,2.1965218,16.865044,2
27,Riecoin,8.242861,4.3659472,2
29,BitBar,10.480231,11.0072365,2
31,CryptoBullion,10.399324,11.453865,2
35,Diamond,8.316599,4.438648,2
49,HoboNickels,16.315453,11.810931,2
57,MaxCoin,13.56278,14.913652,2
64,NavCoin,14.656729,22.248259,2
68,OpalCoin,14.972691,22.348642,2
70,PotCoin,17.13116,9.796221,2
71,PhoenixCoin,15.993904,12.111085,2
72,Reddcoin,13.01278,6.9524093,2
81,TittieCoin,9.336028,15.292218,2
87,UnitaryStatus Dollar,15.893732,7.9009547,2
88,UltraCoin,15.569348,12.2842,2
96,StealthCoin,14.972172,22.34803,2
97,ZCC Coin,16.984339,8.980964,2
104,FairCoin,8.316599,4.4386487,2
108,Kore,14.973862,22.350323,2
112,8BIT Coin,10.668895,10.883172,2
113,Sativa Coin,14.973762,22.350195,2
120,Vtorrent,12.060439,11.592317,2
127,Nexus,13.557152,15.070196,2
131,Droidz,11.944105,8.824162,2
138,Paycon,14.656744,22.248306,2
141,EverGreenCoin,17.885983,15.43421,2
152,PWR Coin,22.236317,5.701351,2
153,BillaryCoin,12.7434435,12.250017,2
169,VIP Tokens,22.236902,5.700911,2
173,PutinCoin,15.901243,7.9035435,2
174,iBankCoin,12.502641,12.367577,2
175,Frankywillcoin,16.32925,11.853987,2
176,MudraCoin,14.174885,23.053244,2
181,CarterCoin,15.268885,12.399738,2
186,ZoneCoin,11.336935,12.040389,2
188,RootCoin,10.399878,11.725435,2
194,BuzzCoin,20.561121,11.699953,2
196,PesoBit,12.83081,11.503095,2
200,RoyalCoin,14.174899,23.05332,2
201,GanjaCoin V2,13.392743,9.300728,2
203,LanaCoin,20.561117,11.699968,2
210,EmberCoin,14.638343,21.929817,2
213,PLNCoin,13.10455,12.12883,2
214,AquariusCoin,12.182162,12.408724,2
219,BitcoinFast,13.1155,11.992902,2
221,BitConnect Coin,12.292098,12.084078,2
222,MoneyCoin,17.08418,10.083615,2
225,Russiacoin,15.206393,12.293747,2
227,GameUnits,11.284416,11.350477,2
228,GAKHcoin,11.009039,10.927992,2
229,Allsafe,1.8843136,16.358322,2
234,Klingon Empire Darsek,16.986496,10.465906,2
237,Printerium,11.970335,11.991594,2
239,Impeach,11.206708,12.103349,2
244,FindCoin,14.174895,23.053308,2
247,OpenChat,16.111626,7.9945583,2
253,TajCoin,14.395888,9.763758,2
258,Coinonat,22.500305,5.4011207,2
261,Independent Money System,11.716295,11.423103,2
262,ArgusCoin,11.543317,12.240129,2
263,LomoCoin,17.065432,9.2905445,2
270,Degas Coin,14.935992,12.408101,2
271,HTML5 Coin,17.885979,15.434055,2
281,Denarius,22.236925,5.7010827,2
283,Virta Unique Coin,22.236904,5.7009087,2
284,Bitcoin Planet,16.40773,4.970404,2
286,BritCoin,14.973238,22.349539,2
290,Linda,12.798879,6.8677325,2
292,DeepOnion,14.972158,22.348028,2
298,Cream,16.407803,4.9703913,2
310,CoinonatX,13.526094,12.243586,2
311,Ethereum Dark,11.117958,10.9824705,2
319,TerraNovaCoin,11.022788,11.988778,2
323,WomenCoin,12.2150955,6.670538,2
325,NamoCoin,22.23687,5.7009077,2
326,LUXCoin,9.356575,15.28258,2
328,Xios,11.412313,11.623333,2
329,Bitcloud 2.0,2.6359267,16.583593,2
